Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Card Count
"74 Copper And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2011","172224947","170318399","","","","","4882"
"74 Copper And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2017","1344342","1349172","","","","","123"
"80 Tin And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2011","288890","288890","","","","","23"
"74 Copper And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2017","217290051","217164421","","","","","5218"
"80 Tin And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2012","1016767","1016767","","","","","91"
"75 Nickel And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2013","47398","47398","","","","","4"
"74 Copper And Articles Thereof","Laos","All Country Subcodes","All Rate Provisions","All Districts","2012","5300","5300","","","","","1"
"75 Nickel And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2018","28647901","29015495","","","","","1977"
"74 Copper And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2018","10226427","10226427","","","","","359"
"76 Aluminum And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2017","6797189","6797189","","","","","617"
"80 Tin And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2020","23716789","23400653","","","","","568"
"75 Nickel And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2011","1741173","1722057","","","","","11"
"75 Nickel And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2020","95359672","102168276","","","","","1217"
"75 Nickel And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2018","430286","9353547","","","","","50"
"80 Tin And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2015","624108","624108","","","","","62"
"75 Nickel And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2016","12758990","12758990","","","","","265"
"74 Copper And Articles Thereof","Macau","All Country Subcodes","All Rate Provisions","All Districts","2011","2913","2913","","","","","1"
"74 Copper And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2014","4200","4200","","","","","1"
"75 Nickel And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2011","331464","331464","","","","","9"
"80 Tin And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2011","101896","101896","","","","","8"
"80 Tin And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2015","195933","195933","","","","","24"
"80 Tin And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2013","2120354","2120354","","","","","5"
"74 Copper And Articles Thereof","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2011","14202","14202","","","","","5"
"75 Nickel And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2012","35059685","35059685","","","","","199"
"76 Aluminum And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2020","96393985","96810159","","","","","2913"
"76 Aluminum And Articles Thereof","Bhutan","All Country Subcodes","All Rate Provisions","All Districts","2017","30120","30120","","","","","1"
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2013","877248","877248","","","","","104"
"80 Tin And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2020","547360","547360","","","","","51"
"74 Copper And Articles Thereof","Brunei","All Country Subcodes","All Rate Provisions","All Districts","2017","2600","2600","","","","","1"
"80 Tin And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2016","3158725","3158725","","","","","6"
"76 Aluminum And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2020","10248049","10211050","","","","","200"
"80 Tin And Articles Thereof","Burma","All Country Subcodes","All Rate Provisions","All Districts","2018","401629","401629","","","","","1"
"76 Aluminum And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2014","244956389","211168255","","","","","5835"
"76 Aluminum And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2016","8278860","8278860","","","","","540"
"75 Nickel And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2019","186375","186375","","","","","4"
"76 Aluminum And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2012","226297548","226230805","","","","","2142"
"80 Tin And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2017","9925205","9925205","","","","","63"
"76 Aluminum And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2020","180442736","137311777","","","","","4737"
"76 Aluminum And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2019","242562677","243362019","","","","","7097"
"80 Tin And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2011","827204","827204","","","","","61"
"74 Copper And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2014","8855123","8855123","","","","","306"
"80 Tin And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2016","296842","296842","","","","","33"
"76 Aluminum And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2017","38230594","36196780","","","","","1910"
"80 Tin And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2019","184982","184982","","","","","18"
"80 Tin And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2019","137382890","137382890","","","","","141"
"76 Aluminum And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2011","114347759","112491480","","","","","3834"
"80 Tin And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2017","271455","271455","","","","","15"
"74 Copper And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2016","21766445","21766445","","","","","497"
"75 Nickel And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2015","2839","2839","","","","","1"
"75 Nickel And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2011","36681553","36681553","","","","","131"
