Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Dutiable Value ($US),CIF Value (Gen) ($US),CIF Value (Cons) ($US),Calculated Duty($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Customs Unit Value (Gen),Customs Unit Value (Cons),Card Count
"76 Aluminum And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2021","153118723","153414141","31492987","172795772","173077182","2414028","","","","","","","4027"
"75 Nickel And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2024","509829","520539","257841","518934","530873","7636","","","","","","","19"
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2024","54889072","54889072","9330","55337455","55337455","260","","","","","","","60"
"74 Copper And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2023","1036715","1035705","719787","1079127","1078028","20921","","","","","","","69"
"76 Aluminum And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","296967910","244775805","238535985","325371416","272220427","17710362","","","","","","","6436"
"75 Nickel And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","244851523","251311500","153721553","247048464","253919478","4229471","","","","","","","1475"
"76 Aluminum And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2024","9288397","9351807","9351807","9787368","9850663","992226","","","","","","","414"
"75 Nickel And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2021","35196","35196","20316","39931","39931","553","","","","","","","5"
"80 Tin And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2024","68219","68219","68219","73728","73728","1765","","","","","","","6"
"76 Aluminum And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2023","15699096","15689958","12402308","16001329","15991291","687353","","","","","","","243"
"80 Tin And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2022","173867405","176831278","2622","175907954","178917007","55","","","","","","","112"
"75 Nickel And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","103701798","107421002","76923825","104857150","108817292","4881994","","","","","","","900"
"74 Copper And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2023","226933677","226718846","174925392","232439328","232220273","3465587","","","","","","","3827"
"75 Nickel And Articles Thereof","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","8339738","8460874","7327297","8448299","8574549","259439","","","","","","","232"
"76 Aluminum And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2023","5246742","5390880","5387305","5539552","5680437","514617","","","","","","","260"
"76 Aluminum And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2023","436191130","435828365","434877522","458953813","458588366","17793000","","","","","","","17448"
"80 Tin And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","21681809","21425217","17028732","21885129","21622896","482105","","","","","","","485"
"76 Aluminum And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2023","12359475","12351220","4390707","13013257","13005002","179632","","","","","","","631"
"75 Nickel And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2022","24106276","24105610","1871280","24504618","24503918","55529","","","","","","","235"
"74 Copper And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2023","20526280","20539390","1057169","21846832","21860112","31365","","","","","","","517"
"75 Nickel And Articles Thereof","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2024","32604998","32625344","4184527","32968565","32988866","122468","","","","","","","333"
"74 Copper And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2023","74108485","72991015","67990120","75583497","74467108","1950605","","","","","","","1851"
"74 Copper And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2021","236742496","236800326","135728479","244907836","244965757","2733408","","","","","","","3636"
"74 Copper And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2022","321923940","321831607","254115711","333663592","333537632","6566059","","","","","","","17268"
"76 Aluminum And Articles Thereof","Burma","All Country Subcodes","All Rate Provisions","All Districts","2021","8670134","8670134","4009651","9620852","9620852","187323","","","","","","","299"
"74 Copper And Articles Thereof","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2021","2337104","2330388","274971","2424305","2417427","7318","","","","","","","165"
"75 Nickel And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2024","29144706","29144706","13332444","29315364","29315364","399761","","","","","","","271"
"76 Aluminum And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2023","356218259","352966091","322200127","380078430","376903066","15153081","","","","","","","6061"
"75 Nickel And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2021","84328","88722","79170","92506","96675","2366","","","","","","","31"
"75 Nickel And Articles Thereof","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","1217462","1160252","470171","1241781","1183021","33499","","","","","","","17"
"74 Copper And Articles Thereof","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2023","226881075","227345795","180338392","233306143","233868099","4377358","","","","","","","12097"
"76 Aluminum And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","57374702","72657635","57758896","61464541","77232507","12374947","","","","","","","2199"
"75 Nickel And Articles Thereof","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2021","47985","47985","47985","51387","51387","1281","","","","","","","6"
"76 Aluminum And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2024","104262613","104263255","57669736","111082161","111089267","4274796","","","","","","","3511"
"75 Nickel And Articles Thereof","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","21236248","20881925","6242369","21780135","21426194","168064","","","","","","","524"
"75 Nickel And Articles Thereof","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2022","10493912","10493912","10080036","10576761","10576761","302405","","","","","","","177"
"76 Aluminum And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","364454101","300912316","300731061","401172376","336922027","22202686","","","","","","","8447"
"74 Copper And Articles Thereof","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","187959691","181810480","121164185","193442511","187220525","2566050","","","","","","","4267"
"74 Copper And Articles Thereof","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2022","355559872","355228404","234498348","369759173","369410007","4568074","","","","","","","5210"
