Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),HS_Code,critical_mineral,CategoryType
2504 Natural Graphite,Japan,2018,1939858,1923938.0,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2024,4443587,4443587.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2023,941735,939669.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2022,884018,884018.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2015,7823,7823.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2019,12396,12396.0,2504,Graphite,Other
2504 Natural Graphite,Hong Kong,2020,290400,290400.0,2504,Graphite,Other
2504 Natural Graphite,Hong Kong,2011,45440,45440.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2003,1932884,1932884.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2016,3771859,3771859.0,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2014,19200,19200.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2001,184030,,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2020,6948,6948.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2010,2400,2400.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2010,2209407,2209407.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2001,3244218,,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2008,6394,6394.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2020,476197,470246.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2008,1502562,1502562.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2023,19575,19575.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2021,650238,644369.0,2504,Graphite,Other
2504 Natural Graphite,Hong Kong,2013,628290,628290.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2013,5095325,5095325.0,2504,Graphite,Other
2504 Natural Graphite,Hong Kong,2012,49200,49200.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2014,7284190,7284190.0,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2021,19300,19300.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2025,134143,129055.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2012,12896,12896.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2017,1494088,1494088.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2024,996588,996588.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2024,38542,38542.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2011,3763618,3763618.0,2504,Graphite,Other
2504 Natural Graphite,Hong Kong,2021,1759304,1759304.0,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2025,52820,52820.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2022,15654,15654.0,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2012,8435,8435.0,2504,Graphite,Other
2504 Natural Graphite,Hong Kong,2022,731819,731819.0,2504,Graphite,Other
2504 Natural Graphite,Hong Kong,2024,202350,202350.0,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2023,1165510,1165510.0,2504,Graphite,Other
2504 Natural Graphite,Mongolia,2014,71820,71820.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2025,21926,21926.0,2504,Graphite,Other
2504 Natural Graphite,Hong Kong,2023,215000,215000.0,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2022,408034,408034.0,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2010,8969,8969.0,2504,Graphite,Other
2504 Natural Graphite,Hong Kong,2016,168782,168782.0,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2001,2127,,2504,Graphite,Other
2504 Natural Graphite,Hong Kong,2001,4577,,2504,Graphite,Other
2504 Natural Graphite,Japan,2009,1245820,1245820.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2005,1295543,1295543.0,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2009,5653,5653.0,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2007,11540,11540.0,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2003,4011,4011.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2019,1992601,1980885.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2007,1339599,1339599.0,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2011,12617,12617.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2012,4121163,4121163.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2008,2700,2700.0,2504,Graphite,Other
2504 Natural Graphite,Hong Kong,2018,1116000,1116000.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2015,4067722,4067722.0,2504,Graphite,Other
2504 Natural Graphite,"Korea, South",2006,5461,5461.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2017,28049,28049.0,2504,Graphite,Other
2504 Natural Graphite,Hong Kong,2002,11100,11100.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2002,1581524,1581524.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2016,6600,6600.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2009,5000,5000.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2004,2600027,2600027.0,2504,Graphite,Other
2504 Natural Graphite,Japan,2006,916690,916690.0,2504,Graphite,Other
2504 Natural Graphite,Taiwan,2002,17218,17218.0,2504,Graphite,Other
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Japan,2012,14800,14800.0,2602,Manganese,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,"Korea, South",2017,12795,12795.0,2602,Manganese,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,Japan,2014,6000,6000.0,2602,Manganese,Ore/Raw
2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore,"Korea, South",2013,72800,72800.0,2602,Manganese,Ore/Raw
2603 Copper Ores And Concentrates,"Korea, South",2025,4613,4613.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2023,9690,9690.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2022,10170,10170.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Taiwan,2023,4724,4724.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Taiwan,2025,17013,17013.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2016,4650,4650.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Taiwan,2021,49343,49343.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2025,208998,208998.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2021,11250,11250.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Taiwan,2002,82000,82000.0,2603,Copper,Ore/Raw
2603 Copper Ores And Concentrates,Japan,2024,10080,10080.0,2603,Copper,Ore/Raw
2604 Nickel Ores And Concentrates,Hong Kong,2015,2820,2820.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,Japan,2018,6020,6020.0,2604,Nickel,Ore/Raw
2604 Nickel Ores And Concentrates,Japan,2015,42816,42816.0,2604,Nickel,Ore/Raw
