Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),HS_Code,CategoryType
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2018,47886193,47860292.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2016,35363169,35363169.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2017,46917775,46917775.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2019,19775,19775.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2018,2700,2700.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2013,8496,8496.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2020,30122236,30094628.0,2504,Other
2504 Natural Graphite,Asia - South,2003,1277642,1277642.0,2504,Other
2504 Natural Graphite,Asia - South,2019,602726,602726.0,2504,Other
2504 Natural Graphite,Asia - South,2013,917994,917994.0,2504,Other
2504 Natural Graphite,Asia - South,2011,1241801,1241801.0,2504,Other
2504 Natural Graphite,Asia - South,2020,102899,102899.0,2504,Other
2504 Natural Graphite,Asia - South,2017,844280,844280.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2012,56521267,56521267.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2014,60094695,60094695.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2013,55786123,55786123.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2019,43919428,43844699.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2011,70478753,70478753.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2015,44775131,44775131.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2017,5593,5593.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2024,82684,82684.0,2504,Other
2504 Natural Graphite,Asia - South,2004,1596376,1596376.0,2504,Other
2504 Natural Graphite,Asia - South,2010,1172175,1172175.0,2504,Other
