Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),HS_Code,CategoryType
2504 Natural Graphite,Taiwan,2024,38542,38542.0,2504,Other
2504 Natural Graphite,Japan,2002,1581524,1581524.0,2504,Other
2504 Natural Graphite,Hong Kong,2002,11100,11100.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2018,47886193,47860292.0,2504,Other
2504 Natural Graphite,Japan,2009,1245820,1245820.0,2504,Other
2504 Natural Graphite,Japan,2005,1295543,1295543.0,2504,Other
2504 Natural Graphite,"Korea, South",2007,11540,11540.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2016,35363169,35363169.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2017,46917775,46917775.0,2504,Other
2504 Natural Graphite,Taiwan,2009,5000,5000.0,2504,Other
2504 Natural Graphite,"Korea, South",2003,4011,4011.0,2504,Other
2504 Natural Graphite,"Korea, South",2006,5461,5461.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2019,19775,19775.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2018,2700,2700.0,2504,Other
2504 Natural Graphite,Taiwan,2008,2700,2700.0,2504,Other
2504 Natural Graphite,Singapore,2009,20650,20650.0,2504,Other
2504 Natural Graphite,Japan,2007,1339599,1339599.0,2504,Other
2504 Natural Graphite,"Korea, South",2009,5653,5653.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2013,8496,8496.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2020,30122236,30094628.0,2504,Other
2504 Natural Graphite,Asia - South,2003,1277642,1277642.0,2504,Other
2504 Natural Graphite,Japan,2004,2600027,2600027.0,2504,Other
2504 Natural Graphite,Japan,2006,916690,916690.0,2504,Other
2504 Natural Graphite,Asia - South,2019,602726,602726.0,2504,Other
2504 Natural Graphite,Asia - South,2013,917994,917994.0,2504,Other
2504 Natural Graphite,Japan,2010,2209407,2209407.0,2504,Other
2504 Natural Graphite,Asia - South,2011,1241801,1241801.0,2504,Other
2504 Natural Graphite,Japan,2001,3244218,,2504,Other
2504 Natural Graphite,Asia - South,2020,102899,102899.0,2504,Other
2504 Natural Graphite,Asia - South,2017,844280,844280.0,2504,Other
2504 Natural Graphite,"Korea, South",2008,6394,6394.0,2504,Other
2504 Natural Graphite,Taiwan,2002,17218,17218.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2012,56521267,56521267.0,2504,Other
2504 Natural Graphite,"Korea, South",2010,8969,8969.0,2504,Other
2504 Natural Graphite,"Korea, South",2001,2127,,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2014,60094695,60094695.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2013,55786123,55786123.0,2504,Other
2504 Natural Graphite,Japan,2021,650238,644369.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2019,43919428,43844699.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2011,70478753,70478753.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2015,44775131,44775131.0,2504,Other
2504 Natural Graphite,Japan,2008,1502562,1502562.0,2504,Other
2504 Natural Graphite,Taiwan,2010,2400,2400.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2017,5593,5593.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2024,82684,82684.0,2504,Other
2504 Natural Graphite,Asia - South,2004,1596376,1596376.0,2504,Other
2504 Natural Graphite,Asia - South,2010,1172175,1172175.0,2504,Other
2504 Natural Graphite,Japan,2022,884018,884018.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2010,43435716,43435716.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2022,161784767,161764301.0,2504,Other
2504 Natural Graphite,Asia - South,2022,779394,779394.0,2504,Other
2504 Natural Graphite,Asia - South,2024,914711,914711.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2007,28532765,28532765.0,2504,Other
2504 Natural Graphite,Asia - South,2005,1547407,1547407.0,2504,Other
2504 Natural Graphite,Asia - South,2021,696954,696954.0,2504,Other
2504 Natural Graphite,Asia - South,2025,425891,425891.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2008,39327547,39327547.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2004,22527439,22527439.0,2504,Other
2504 Natural Graphite,Japan,2015,4067722,4067722.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2001,16356779,,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2003,15205824,15205824.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2009,22920956,22920956.0,2504,Other
2504 Natural Graphite,Asia - South,2023,799219,799219.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2002,13645296,13645296.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2020,20895,20895.0,2504,Other
2504 Natural Graphite,Japan,2023,941735,939669.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2005,26534549,26534549.0,2504,Other
2504 Natural Graphite,"Korea, South",2023,1165510,1165510.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2025,7225570,7225570.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2022,2308,2308.0,2504,Other
2504 Natural Graphite,Hong Kong,2023,215000,215000.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2023,128065954,128050110.0,2504,Other
2504 Natural Graphite,Asia - South,2008,1334313,1334313.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2021,53987731,53943942.0,2504,Other
2504 Natural Graphite,Asia - South,2007,2434700,2434700.0,2504,Other
2504 Natural Graphite,Thailand,2024,10094,10094.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2024,121726742,121698621.0,2504,Other
2504 Natural Graphite,Taiwan,2023,19575,19575.0,2504,Other
2504 Natural Graphite,Asia - South,2009,189610,189610.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2009,20650,20650.0,2504,Other
2504 Natural Graphite,Asia - South,2002,470819,470819.0,2504,Other
2504 Natural Graphite,Asia - South,2006,1183180,1183180.0,2504,Other
2504 Natural Graphite,Asia - South,2001,764533,,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2006,21159453,21159453.0,2504,Other
2504 Natural Graphite,APEC - Asia Pacific Economic Co-operation,2025,58348425,56681679.0,2504,Other
2504 Natural Graphite,ASEAN - Association of Southeast Asian Nations,2007,3822,3822.0,2504,Other
2504 Natural Graphite,Taiwan,2001,184030,,2504,Other
2504 Natural Graphite,Hong Kong,2001,4577,,2504,Other
2504 Natural Graphite,Taiwan,2016,6600,6600.0,2504,Other
2504 Natural Graphite,Malaysia,2022,2308,2308.0,2504,Other
2504 Natural Graphite,Hong Kong,2013,628290,628290.0,2504,Other
2504 Natural Graphite,Singapore,2017,5593,5593.0,2504,Other
2504 Natural Graphite,Taiwan,2022,15654,15654.0,2504,Other
2504 Natural Graphite,Japan,2019,1992601,1980885.0,2504,Other
2504 Natural Graphite,Taiwan,2020,6948,6948.0,2504,Other
