Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US)
74 Copper And Articles Thereof,Taiwan,2005,159906947,159797450.0
76 Aluminum And Articles Thereof,Singapore,2004,8362804,8362804.0
74 Copper And Articles Thereof,"Korea, South",2002,37746931,37761027.0
75 Nickel And Articles Thereof,Indonesia,2005,87769,87769.0
80 Tin And Articles Thereof,Vietnam,2004,79328,79328.0
76 Aluminum And Articles Thereof,Indonesia,2008,100887748,100887748.0
76 Aluminum And Articles Thereof,Taiwan,2003,74067595,73516122.0
80 Tin And Articles Thereof,Philippines,2008,268413,268413.0
76 Aluminum And Articles Thereof,Brunei,2002,305234,305234.0
76 Aluminum And Articles Thereof,Indonesia,2004,35426206,35411822.0
75 Nickel And Articles Thereof,"Korea, South",2004,961282,961282.0
74 Copper And Articles Thereof,Malaysia,2004,38674157,38674157.0
74 Copper And Articles Thereof,Brunei,2004,35149,35149.0
76 Aluminum And Articles Thereof,Philippines,2009,1840574,1414353.0
80 Tin And Articles Thereof,Taiwan,2007,2917141,2917141.0
74 Copper And Articles Thereof,Hong Kong,2005,5289155,5289155.0
74 Copper And Articles Thereof,Vietnam,2003,117824,117824.0
76 Aluminum And Articles Thereof,Thailand,2006,170842404,170780234.0
76 Aluminum And Articles Thereof,Japan,2002,189032195,163192368.0
75 Nickel And Articles Thereof,Taiwan,2003,2536811,2536811.0
76 Aluminum And Articles Thereof,Japan,2007,249588606,209669541.0
75 Nickel And Articles Thereof,Taiwan,2009,9666861,9666861.0
74 Copper And Articles Thereof,Macau,2008,9726,9726.0
76 Aluminum And Articles Thereof,Vietnam,2008,2161902,2161902.0
80 Tin And Articles Thereof,Thailand,2005,2518227,2518227.0
74 Copper And Articles Thereof,Malaysia,2002,18893299,17493027.0
76 Aluminum And Articles Thereof,Singapore,2007,32619914,32626364.0
74 Copper And Articles Thereof,Philippines,2010,2314108,2314108.0
74 Copper And Articles Thereof,Singapore,2002,1971544,1899888.0
