Commodities,Countries,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),CategoryType
76 Aluminum And Articles Thereof,Singapore,2004,8362804,8362804.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2005,87769,87769.0,Refined/Articles
80 Tin And Articles Thereof,Vietnam,2004,79328,79328.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2008,100887748,100887748.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2008,268413,268413.0,Refined/Articles
76 Aluminum And Articles Thereof,Brunei,2002,305234,305234.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2004,35426206,35411822.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2004,38674157,38674157.0,Refined/Articles
74 Copper And Articles Thereof,Brunei,2004,35149,35149.0,Refined/Articles
76 Aluminum And Articles Thereof,Philippines,2009,1840574,1414353.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2003,117824,117824.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2006,170842404,170780234.0,Refined/Articles
76 Aluminum And Articles Thereof,Vietnam,2008,2161902,2161902.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2005,2518227,2518227.0,Refined/Articles
74 Copper And Articles Thereof,Malaysia,2002,18893299,17493027.0,Refined/Articles
76 Aluminum And Articles Thereof,Singapore,2007,32619914,32626364.0,Refined/Articles
74 Copper And Articles Thereof,Philippines,2010,2314108,2314108.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2002,1971544,1899888.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2002,75386,75386.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2001,94375,,Refined/Articles
76 Aluminum And Articles Thereof,Malaysia,2008,24157791,24157791.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2003,338863,338863.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2002,1078278,1078278.0,Refined/Articles
80 Tin And Articles Thereof,Malaysia,2004,57403104,58906372.0,Refined/Articles
74 Copper And Articles Thereof,Thailand,2009,34454212,34454212.0,Refined/Articles
80 Tin And Articles Thereof,Thailand,2007,1591303,1591303.0,Refined/Articles
75 Nickel And Articles Thereof,Malaysia,2006,403102,403102.0,Refined/Articles
80 Tin And Articles Thereof,Philippines,2002,1778370,1778370.0,Refined/Articles
74 Copper And Articles Thereof,Cambodia,2009,10620,10620.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2007,72461,72461.0,Refined/Articles
75 Nickel And Articles Thereof,Thailand,2005,64066,64066.0,Refined/Articles
75 Nickel And Articles Thereof,Indonesia,2009,209067,209067.0,Refined/Articles
74 Copper And Articles Thereof,Vietnam,2009,1942412,1942412.0,Refined/Articles
76 Aluminum And Articles Thereof,Thailand,2004,122256921,122227257.0,Refined/Articles
76 Aluminum And Articles Thereof,Indonesia,2006,116421043,116421043.0,Refined/Articles
75 Nickel And Articles Thereof,Singapore,2006,2310932,2310932.0,Refined/Articles
74 Copper And Articles Thereof,Singapore,2008,5793141,5793141.0,Refined/Articles
